
[T0][86/100] Loss=1.3539142855734099e-05, Acc= 0.9989735491512041
[T0][87/100] Loss=1.3427646081254352e-05, Acc= 0.9989735491512041
[T0][88/100] Loss=1.3318255696503911e-05, Acc= 0.9989735491512041
[T0][89/100] Loss=1.321106083196355e-05, Acc= 0.9989735491512041
[T0][90/100] Loss=1.3105830475979019e-05, Acc= 0.9989735491512041
[T0][91/100] Loss=1.3002430932829157e-05, Acc= 0.9989735491512041
[T0][92/100] Loss=1.2901010450150352e-05, Acc= 0.9989735491512041
[T0][93/100] Loss=1.2801444427168462e-05, Acc= 0.9989735491512041
[T0][94/100] Loss=1.2703603715635836e-05, Acc= 0.9989735491512041
[T0][95/100] Loss=1.2607531971298158e-05, Acc= 0.9990525069088038
[T0][96/100] Loss=1.2513116416812409e-05, Acc= 0.9990525069088038
[T0][97/100] Loss=1.2420336133800447e-05, Acc= 0.9991314646664035
[T0][98/100] Loss=1.2328930097282864e-05, Acc= 0.9991314646664035
[T0][99/100] Loss=1.2239138413860928e-05, Acc= 0.9991314646664035
[T0][100/100] Loss=1.2150890142947901e-05, Acc= 0.9991314646664035

[T1][1/100] Loss=0.0026251748204231262, Acc= 0.5088923815038465
[T1][2/100] Loss=0.0022681208793073893, Acc= 0.5836711059640995
[T1][3/100] Loss=0.0016132433665916324, Acc= 0.9042104392422864
[T1][4/100] Loss=0.0010762872407212853, Acc= 0.9514434609976011
[T1][5/100] Loss=0.0007976377964951098, Acc= 0.9576474480933079
[T1][6/100] Loss=0.0006505833589471877, Acc= 0.96070808172719
[T1][7/100] Loss=0.0005646288627758622, Acc= 0.963437836049301
[T1][8/100] Loss=0.0005089459591545165, Acc= 0.9649267929522707
[T1][9/100] Loss=0.00047001102939248085, Acc= 0.9669947886508397
[T1][10/100] Loss=0.00044113906915299594, Acc= 0.9688973446935231
[T1][11/100] Loss=0.0004186705918982625, Acc= 0.9692282240052941
[T1][12/100] Loss=0.00040058375452645123, Acc= 0.9700554222847216
[T1][13/100] Loss=0.00038561481051146984, Acc= 0.9703863015964926
[T1][14/100] Loss=0.00037291954504325986, Acc= 0.9711307800479775
[T1][15/100] Loss=0.00036196058499626815, Acc= 0.9714616593597485
[T1][16/100] Loss=0.00035234965616837144, Acc= 0.971957978327405
[T1][17/100] Loss=0.0003438038984313607, Acc= 0.9723715774671189
[T1][18/100] Loss=0.0003361055860295892, Acc= 0.9727024567788899
[T1][19/100] Loss=0.0003291300090495497, Acc= 0.9732814955744892
[T1][20/100] Loss=0.00032274684053845704, Acc= 0.974025974025974
[T1][21/100] Loss=0.00031682755798101425, Acc= 0.974356853337745
[T1][22/100] Loss=0.00031133173615671694, Acc= 0.9750186119612871
[T1][23/100] Loss=0.00030621280893683434, Acc= 0.9754322111010009
[T1][24/100] Loss=0.0003014440881088376, Acc= 0.9759285300686574
[T1][25/100] Loss=0.0002969337219838053, Acc= 0.9761766895524857
[T1][26/100] Loss=0.0002926761517301202, Acc= 0.9766730085201423
[T1][27/100] Loss=0.0002886271686293185, Acc= 0.9770866076598561
[T1][28/100] Loss=0.0002847589203156531, Acc= 0.9771693274877988
[T1][29/100] Loss=0.0002810622681863606, Acc= 0.9774174869716271
[T1][30/100] Loss=0.0002775079046841711, Acc= 0.9775002067995698
[T1][31/100] Loss=0.0002740976051427424, Acc= 0.9776656464554554
[T1][32/100] Loss=0.00027080217842012644, Acc= 0.9777483662833981
[T1][33/100] Loss=0.0002676057047210634, Acc= 0.978161965423112
[T1][34/100] Loss=0.0002644868800416589, Acc= 0.9785755645628257
[T1][35/100] Loss=0.00026145618176087737, Acc= 0.978823724046654
[T1][36/100] Loss=0.0002585053734946996, Acc= 0.9789064438745967
[T1][37/100] Loss=0.000255628430750221, Acc= 0.9790718835304822
[T1][38/100] Loss=0.0002528154873289168, Acc= 0.979154603358425
[T1][39/100] Loss=0.00025006747455336154, Acc= 0.9795682024981388
[T1][40/100] Loss=0.0002473733329679817, Acc= 0.9797336421540244
[T1][41/100] Loss=0.00024472762015648186, Acc= 0.9798990818099098
[T1][42/100] Loss=0.0002421238023089245, Acc= 0.9800645214657954
[T1][43/100] Loss=0.0002395516785327345, Acc= 0.9803126809496236
[T1][44/100] Loss=0.00023702409816905856, Acc= 0.9805608404334519
[T1][45/100] Loss=0.00023452789173461497, Acc= 0.9807262800893374
[T1][46/100] Loss=0.00023205328034237027, Acc= 0.9809744395731657
[T1][47/100] Loss=0.0002296061284141615, Acc= 0.9811398792290512
[T1][48/100] Loss=0.000227185373660177, Acc= 0.9813053188849368
[T1][49/100] Loss=0.0002247859229100868, Acc= 0.9814707585408222
[T1][50/100] Loss=0.00022240319231059402, Acc= 0.9815534783687649
[T1][51/100] Loss=0.00022004848869983107, Acc= 0.9819670775084788
[T1][52/100] Loss=0.00021772130276076496, Acc= 0.9819670775084788
[T1][53/100] Loss=0.00021541187015827745, Acc= 0.9822152369923071
[T1][54/100] Loss=0.0002131182118318975, Acc= 0.9823806766481926
[T1][55/100] Loss=0.00021083928004372865, Acc= 0.9826288361320209
[T1][56/100] Loss=0.00020858350035268813, Acc= 0.9829597154437919
